Geldanamycin,Tanespimycin
395058624.333333,261871274.333333
1401343432.0,861005472.833333
,
1366852274.16667,1089452269.0
35276729.6666667,10161056.5
452294781.333333,346644138.333333
180312239.0,124573800.166667
,4624365.0
526175357.0,392687982.666667
9993009.0,
27762784.3333333,20349701.0
10677787.3333333,8663572.25
209283367.0,139388639.333333
87177164.3333333,68372621.3333333
,
,
,5038427.0
1499014750.66667,1025735233.83333
39856727.3333333,19813331.5
17058522.0,12254818.0
526516721.166667,339502316.0
207986987.666667,135472197.333333
24590535.1666667,30251188.75
89619208.0,55095216.0
22768592.0,16112489.0
18094643.3333333,14374282.25
1725506729.83333,1275500661.66667
427233194.5,311907781.833333
28665304.75,14104294.75
29182523.8333333,18929642.0
0.0,3976888.0
