GSK2879552,Iadademstat,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat
76295935.1666667,97433291.8333333,81789954.6666667,84590646.1666667,88232867.3333333,85981763.5,94312669.0
21857497.5,35321761.5,25135439.2,19339287.0,35401678.3333333,25549038.3333333,21537278.25
16932200.0,0.0,,,,14867664.0,
1239091705.33333,1489218293.0,1553736411.5,982026025.166667,1725676575.66667,1604400128.83333,1063995234.0
294758648.166667,279426014.666667,287504829.5,229311802.0,410910706.166667,344126133.166667,238765124.0
20946325.1666667,43851329.3333333,43708986.6666667,69343259.8333333,33348691.0,25884630.3333333,65851689.3333333
143041802.333333,91344298.6666667,270220111.333333,49553177.3333333,137091558.333333,117814098.333333,65985134.5
,,,,,,
9446030.6,8347576.2,10557486.5,8995455.2,13168420.6666667,12077204.5,9643258.6
1933627727.5,2330071178.5,1828274021.0,2015846009.0,2674709214.66667,2203687179.83333,2094041035.0
2032646229.0,1825271126.5,2818282815.16667,1110806765.0,2000321894.0,1738916139.33333,1264216967.83333
398565035.666667,443137787.333333,472784252.5,345217352.166667,476726153.0,399278673.666667,381666313.5
269007903.666667,257259692.666667,354349475.666667,279222246.333333,298135357.5,285120675.333333,326207925.333333
53289403.3333333,80773582.5,80924299.1666667,62445824.3333333,82617938.3333333,68479522.5,78802673.8333333
88610307.3333333,120161185.166667,70635910.8333333,92515271.5,121095352.666667,106978684.5,74041339.8333333
0.0,9468050.0,5918850.0,9878875.0,15161750.0,8547300.0,13163500.0
250975683.166667,247685577.333333,149472191.5,225061034.166667,259920342.833333,211040052.666667,199969974.666667
1078640706.66667,1308645381.16667,1480467026.0,1042376295.33333,1300848127.5,1158563697.0,1078620184.16667
96079503.0,115613991.333333,102018918.166667,81622640.8333333,124137650.333333,123976078.333333,86246172.5
574028700.0,629914443.5,622957483.666667,431066231.833333,718947911.666667,638055951.5,462383034.833333
40052362.1666667,55226427.6666667,37427780.0,32563536.6666667,51401034.1666667,41886267.3333333,16386678.1666667
10766522.1666667,4395072.0,6714074.25,11453651.0,13217314.8333333,9609551.0,11245121.6
5370313342.16667,5034972948.0,6001562769.5,4172873313.16667,5849177827.0,5011519577.83333,4650025960.0
1575909971.66667,1905810281.33333,1619409760.66667,1693403772.83333,2086569563.33333,1798522424.33333,1588622402.83333
