(+)-JQ-1,Bromosporine,Molibresib,Apabetalone
85.9492774743181,0.407137898735,8.1817456436032,0.9959034608284
99.0678782709138,188.522577503989,326.121785207353,20.7365329926084
274.351371690081,,14.3041658760497,
278.369869591121,460.241107195948,226.841266587974,2126.1977675677
,201.801271384728,9.4511464463758,172.600972216475
4.925345305268,,525.569817309006,
2712.47524982691,3232.53292533372,234.647831920095,147.507529812027
104.278441194789,810.82252386583,8354.58223535296,0.9103263421009
26.8331315310287,,24.1063667754584,
1392.43091898177,,,1156.35024269853
294.447589751364,708.008999053352,0.9932634902977,
56.7935248479056,830.886854643711,85.0262179227721,
47.1487942003686,157.405277527753,261.389057686527,777.215183482434
1300.26624058438,,139.931311911344,888.477354070344
1068.5633492587,2462.24811889515,7.2165920288227,2.2259501909237
295.604825926452,1.1846293728446,1668.66081955502,587.754520595096
70.5859441669727,,0.6158861714391,
21.9754310422102,3444.03455065487,1157.39872264527,21.519532731276
4133.00865957131,,,
148.047539837457,2343.15463360426,7532.89099372672,
,,2904.02225889111,1988.29326078022
1527.58335809261,1568.58326920142,109.994787658666,1.2750743013882
635.706892885107,,2903.24780636045,
,954.79118724354,650.466626250395,0.0567898545187
541.565901502791,560.181518830061,10.7419972462749,878.077258315614
43.1632540708109,4206.506347411329,12.4159187850165,5311.34493478188
656.973988672902,0.020179926965,3.5705362039201,
,,3.3368665710472,
65.7952229666164,998.884254739861,1702.86451223612,1170.92759607382
148.333599076038,,0.9645473426665,406.50322822264
168.170336245719,773.527650283917,3265.13174117202,
,,5.5433945773701,
297.204502203368,0.206736941274,31.6127368076107,676.317652525107
1126.21574074771,,232.659980876384,
19.7139514385846,683.54445705715,1.1790031435211,
,4149.53472057051,89.4080435421222,615.455576209774
,,,7532.89099372672
419.579441123005,13.5859017701193,,736.765211147282
2.3782330218701,,,54.9682311516334
179.478002521948,,73.0868649683346,1101.95718173561
313.768448160579,,,
641.278944811127,,11.4114640637033,673.289011682283
116.328890913055,,4.6036029967678,
392.666251063905,2.1664889853773,1.0517701140357,818.981390985497
0.1485956421592,1576.43985080749,13.4382845761481,87.7162551514629
3212.1776304264,,237.43591886658,786.117607765324
,525.569817309006,,
899.839750880986,3500.04073990239,,
246.023371693009,2.7633317705271,,8810.255632355911
4229.40762952022,27.4140666723074,264.056520111847,59.015973605119
,,,
2.7450110613906,942.658164379294,1370.4267097805,6025.01972207835
,1017.52602237134,288.196245685141,1337.55817603583
253.868894816128,,422.577504530108,812.940993421159
533.099878646839,738.883302959938,9.4874717370971,1713.71279026802
9964.68866608043,,3.1019569150364,6445.08698121941
329.251137588215,78.6862919907525,3495.45882404129,186.319207629818
747.748033027274,0.3272942939443,23.675789233651,264.814015916798
,0.8400624483829,6.8421812105587,899.02178895406
359.826881577109,808.093795009588,34.0676624677031,
267.111287028162,,0.0172973271529,7532.89099372672
8.5699894049284,3917.5448572236,20.205684465812,1363.61083134532
1793.96892798199,,42.7802239499721,
,,,
341.00612366619,,115.75174830615,
277.107035643633,,,
,,,
776.760456385902,,548.566294789568,
,1069.21965018361,887.997999723782,2816.69046443331
,1655.14513364646,37.4321119736406,9448.805793118221
3.9352708538662,1.1129081046502,74.3432032839633,1.5879010453507
,,,712.543750563269
34.5953383082468,100.499780993418,58.1607751179065,865.681106565653
,,9.2735639089844,
1227.22733098619,436.599120441279,113.617666265621,
426.064883618364,,20.3106805419269,1082.97336333924
97.0656344690068,3746.00792482672,300.765719014043,7537.69498143816
2752.93042448414,330.825184429432,1107.12617366819,1.2149963450562
420.139650173429,7532.89099372672,,7532.89099372672
,,,525.569817309006
29.3783407507142,1094.95682012067,204.404790649818,4.873092668498
7.0413319941785,725.254757543922,2.9920624614679,830.975638838188
4131.6012930261,6.130232014511,2528.89830785447,8.9652718351885
7366.08358857688,,667.790735199298,
311.883497629088,9.9264467846245,750.718526343014,
1422.65521682554,673.132295618991,2118.01020715658,70.8512725819964
,290.999670625799,0.0580162011776,7244.72090796135
416.589367251723,843.198161123616,59.0107822095091,
665.080177728391,483.47152228367,143.480131827212,34.9638947506506
583.935789672059,1439.19879255947,90.2305569287271,707.620999007044
32.7555783039564,882.110263352454,38.8562906741921,735.862647899985
,0.0445455174711,202.245953621956,
,8.3991475775898,2379.23183929543,224.878946957125
2014.91772597045,335.384670979473,152.475309403801,374.140908196266
,,14.4931067737211,
