Paclitaxel,CHM-1,Nocodazole,Colchicine,Vincristine
50960385.3333333,48373094.8333333,52706782.0,52925358.75,40453161.3333333
577379383.5,578517416.833333,645630240.5,675874249.833333,579477299.5
0.0,,,,12471114.0
,11135364.0,,14392973.75,6154996.0
25285155.3333333,37300711.6666667,24522561.6666667,28805949.0,25635899.0
82525705.3333333,115758418.666667,93772810.5,119285131.833333,85788370.6666667
0.0,7025194.5,,6590631.0,
,9078906.0,11320921.6666667,5513366.0,6632208.0
30660888.0,0.0,,,
14633099.0,0.0,3969684.0,11837483.0,8403056.4
,54605194.8333333,43013356.3333333,54698303.6666667,39361000.8333333
26220102.0,24648417.0,30133503.0,29717058.5,30692113.1666667
63550714.6666667,56102799.5,68164164.0,0.0,75682549.25
92625807.6666667,118217248.333333,87939894.5,105707002.833333,64564815.0
44612556.3333333,39346831.1666667,40002452.75,44876910.5,40908353.6666667
29928880.0,20585795.0,23392376.6666667,37881291.8333333,31856876.0
636523909.833333,445013782.5,572946288.666667,536880117.833333,331703008.833333
2149790582.66667,1785561499.5,2274189033.83333,2112400204.83333,1878424424.0
1072973039.83333,1047603341.83333,1146186726.33333,941429377.0,883486410.333333
291381869.5,200276446.833333,286216519.666667,278887815.0,271523386.166667
14220505.0,10090056.4,,13222164.0,13823174.0
113586469.333333,131597255.0,153172541.5,106308813.333333,98591694.6666667
133479190.333333,164136596.5,166140604.333333,138659661.333333,145321637.833333
16456208.0,14459828.1666667,19060802.6666667,18547543.0,14222847.8333333
676742457.333333,649634421.333333,762815310.5,753917392.666667,671300935.166667
58081690.3333333,55921649.3333333,58778584.0,76990564.8333333,61957434.5
,,2300805.0,,
446843191.333333,466846473.5,447039764.0,575215601.5,432288373.666667
35484581.6666667,25978905.6666667,41733750.3333333,39373543.8,27340686.6666667
239832128.5,212972503.166667,239702247.0,269373709.333333,206789927.5
,,3322329.66666667,,
1482772289.0,790068764.333333,1074109593.16667,1271777152.83333,1247132954.16667
776996886.5,570611703.166667,738183561.333333,833732843.666667,662787773.5
4860844.0,2889793.33333333,10474675.5,,10318298.6666667
33840412.3333333,36834971.2,50414179.3333333,30778383.1666667,33106608.0
,0.0,,0.0,0.0
11499030.4,9709689.5,9580352.0,9385785.5,8813720.66666667
24674261.6666667,21566520.1666667,21509120.3333333,21242454.6,24908570.1666667
10560024.0,7973182.0,,7675516.75,0.0
52585357.5,64049913.0,51582993.0,37822657.6666667,43293507.8333333
82117940.3333333,35098029.1666667,86050202.0,102082014.333333,91418534.5
49174101.6666667,43782536.6666667,60899667.1666667,55423114.0,62144055.5
125012286.666667,163443753.0,107718913.0,131437864.0,119210349.0
,,,,
79887848.5,87522058.5,96081094.5,75536529.6666667,79814551.8333333
8488162.0,9211812.0,9827579.5,11435383.0,0.0
313584701.166667,116422518.166667,267607963.5,232774421.0,289344279.666667
2199409689.33333,1697577459.83333,2194639856.66667,2242968611.33333,2050935538.5
263532346.0,249517626.166667,434104842.833333,217757577.833333,214562695.5
19577929.5,16575688.6666667,17932206.5,18826519.8,17649684.6666667
155199878.5,155806599.0,290786312.5,171865927.833333,162770544.666667
2924250060.5,2143771939.5,2947023869.16667,2233441314.83333,2316505507.66667
126100730.0,159366266.333333,130974808.0,154123599.166667,89619155.8333333
101157673.5,65947503.8,90325354.3333333,127616112.166667,
39936331.4,96622.0,36150851.0,36730437.0,32595763.4
90171030.3333333,55811701.5,87962575.6666667,81500439.3333333,84842192.8333333
73696990.3333333,64289449.3333333,92389634.8333333,74964144.1666667,79542206.1666667
389760438.166667,376488998.0,412453795.166667,430956176.166667,328386220.5
45563360.0,54989698.0,54519446.1666667,71397978.1666667,41463119.8333333
432993583.166667,400205784.166667,477597518.0,478962374.333333,397198547.166667
,,,0.0,
6486417.0,10810035.0,8714408.2,7925759.8,6419626.66666667
2976071385.5,2201275451.33333,2761810617.16667,2497407893.66667,2502096503.33333
2442903462.83333,2024432263.0,2479566307.66667,2553374743.66667,2434717356.66667
449973264.5,396100837.333333,462099026.666667,519717501.5,410396498.833333
,,19927791.5,4117309.0,
43692202.0,36116076.3333333,54860678.5,53041707.0,44798328.6666667
12743753.3333333,23684205.6666667,21687543.1666667,17307613.1666667,14551643.1666667
105387080.666667,100027329.666667,125418726.0,120970750.833333,98610390.5
25479006.0,5850951.5,3430355.66666667,6743313.66666667,34270625.6
707922693.833333,636835757.166667,788427128.5,803797464.833333,635587449.166667
,15351657.0,9410655.0,3308047.66666667,9183816.0
0.0,,,,28627162.0
12037155.0,10221771.5,14653106.1666667,11164411.5,12947233.3333333
17965149.0,23288814.0,26967449.0,22641468.0,17139018.5
1010671450.33333,830633446.5,1124323072.16667,1202996127.66667,1020937101.33333
124155845.833333,115545216.0,143245095.166667,137314995.166667,108079174.666667
26841901.5,31490489.3333333,21214992.25,22766418.8,25212221.2
,,5788197.0,,
74832577.8333333,,64931100.0,72496118.8333333,55798354.6666667
11109616.5,,,,
9166031.0,0.0,,12953084.5,
4328458.4,7389583.0,5213015.2,3515081.5,3479121.25
6006535.0,8696149.0,6357552.5,7295674.0,7270215.5
21691245.1666667,30209711.0,24276637.3333333,26517126.5,20295580.0
4240647185.16667,3012693033.5,4307519896.33333,4566972002.0,3781427066.83333
,12719642.3333333,16736827.75,11016250.5,15852213.0
27969394.0,32454757.0,47176075.0,44174980.5,24795871.1666667
315427640.333333,304451534.166667,331971985.5,334232947.5,294938342.333333
14527075.4,16520623.3333333,208338174.0,18962365.3333333,15005766.2
42112460.0,31707623.8333333,54746824.8333333,52633484.3333333,41849228.5
159751273.0,156152970.5,151209567.166667,165319182.833333,137288259.5
157092204.333333,78751699.8333333,128851749.166667,174791091.0,176287501.833333
688509365.666667,661014465.5,955271725.666667,884758785.833333,676904455.0
36519615.3333333,21369059.5,28125549.6,30917742.6666667,20983405.1666667
2104340.0,,,6677720.8,
43142946.5,44223197.3333333,43185842.8333333,50337679.0,48461375.3333333
32520664.0,46451816.0,43826790.8333333,37828572.1666667,23791828.1666667
392497767.666667,353500089.166667,510436657.5,409525714.8,377744282.333333
1482479533.33333,1264018745.5,1487531211.33333,1569948027.33333,1341230017.33333
1097019087.16667,1409804648.66667,1288091167.83333,1305801130.66667,999580184.166667
88832619.8333333,195954980.5,102606768.166667,146644277.5,67816971.5
5164983.2,5970215.0,8211052.16666667,6595410.0,6021632.66666667
192172302.5,101121213.333333,209444462.833333,162513787.0,168247119.5
295172098.0,233294238.5,307254429.5,314192253.5,319952347.833333
10108057.8333333,17595369.6666667,10198114.1666667,15514076.8333333,8671558.5
,,,9433087.0,9571954.6
4361511.2,2830641.0,3985311.5,,3577624.75
343543909.0,269671284.666667,340796230.166667,314253619.5,272625890.833333
12970355.0,33783352.1666667,33685003.6,27979332.0,11501267.0
3329642.0,5818733.75,4911374.0,6203257.0,5631133.75
576528197.166667,479914973.666667,612925884.333333,604996388.0,504116019.166667
386667970.0,343346282.333333,398425121.166667,429636275.0,335157829.666667
128478763.666667,149698550.166667,137381119.166667,149358590.833333,137901726.0
428425210.166667,342663080.166667,448810766.833333,450058237.666667,354451096.5
5798529.5,,10634264.6666667,35318104.3333333,5557192.0
16284867.3333333,,35132173.6666667,17210700.3333333,
16361751.5,20947018.5,25283574.6666667,26800075.5,17837247.5
24139666.3333333,45320454.8,21738341.3333333,35125148.5,13910486.8333333
0.0,17897987.0,10873547.0,22444580.0,2325815.0
39507180.3333333,72973707.5,37315635.8333333,68626577.3333333,32742213.8333333
206136644.5,135719555.0,252656250.333333,299696853.166667,236359817.333333
130870845.833333,69379121.1666667,116128875.666667,132926243.833333,187075389.333333
7221327.6,2645411.0,8353091.33333333,7837024.8,10449064.5
159685486.333333,144216067.5,173129340.333333,188524926.833333,169059461.333333
329553398.5,276772838.0,328127078.333333,324960286.166667,318007979.333333
11302155.3333333,12056113.0,11928626.8333333,13918934.6666667,13651365.8333333
389972425.166667,289766070.333333,424398739.333333,388863861.833333,408205206.666667
15813870.6666667,9277176.66666667,19844689.3333333,12027594.5,15552876.6666667
11065227.6666667,10015635.3333333,,10883128.0,
184663868.833333,170912744.666667,208250994.0,198131246.333333,148796085.0
7753163.25,8746377.33333333,6829951.6,8186470.5,6592252.66666667
19110036.1666667,10214528.0,14857861.0,12949335.5,15415214.0
11933295.1666667,17483261.6666667,15079404.0,25224279.6666667,13174756.5
687206734.333333,775289196.5,919513433.5,784453615.5,754087865.333333
2072597008.33333,1818505678.5,1902758146.0,2274037339.16667,1737596047.5
19508355.0,20919876.1666667,23841885.1666667,21727416.5,21757331.3333333
0.0,,,,
1131317411.16667,738020495.5,1019795036.33333,1064178767.83333,1226831626.83333
1380864277.33333,1206702764.5,1556615038.33333,1579052084.16667,1548632787.5
182007441.166667,166538252.333333,222710977.5,197177297.0,176769165.0
147494301.0,148684431.5,162217370.833333,160217966.333333,126368732.666667
962913852.666667,864033046.833333,1011263432.5,1060426113.16667,
62485889.5,49331015.5,64710700.6666667,51192284.1666667,43662051.0
114955176.333333,67863583.5,102961482.333333,80105248.3333333,85825686.6666667
320108706.166667,231188261.333333,383665171.333333,325207121.333333,377750043.333333
180643126.0,109813706.333333,122174731.5,108176963.166667,141381252.166667
18475196.5,15187344.6666667,11695077.3333333,16416988.4,7316912.33333333
21888495.0,41801509.0,42671810.5,32276560.6666667,37317787.4
32605709.3333333,36813646.5,26405351.6666667,32052549.8333333,28251110.1666667
19648416.1666667,,24474698.5,16367957.6666667,21170637.75
10714432.25,11199344.0,13475441.0,18392166.2,15736376.4
167764222.666667,127623464.333333,171727134.666667,158809253.833333,155692951.666667
4474686.0,9905873.33333333,0.0,6556025.66666667,13287066.75
5681344.0,,10911532.5,,7414589.2
248620148.5,206595159.333333,296608384.0,294737647.166667,291695754.0
7200554.5,9369720.0,,,
92180360.6666667,60486602.6666667,96186283.5,120177167.833333,93560273.3333333
970620172.833333,701734080.166667,1041755935.5,866509504.333333,828245915.166667
500029141.5,254491635.666667,423752648.666667,433282001.0,488525389.5
,,,,
0.0,5493668.66666667,6792552.2,7851821.83333333,4966692.6
0.0,1821063.0,,,4389642.0
174562022.0,168636730.333333,214545609.166667,172170596.0,160810050.333333
56748023.0,117660207.5,123153884.5,98026020.3333333,80533754.5
14261701.25,20265201.25,21988860.5,39512546.2,12004329.1666667
78918280.3333333,61239425.0,88239597.1666667,68833718.8333333,61752555.3333333
22855174.1666667,22834821.0,23807284.1666667,22525208.3333333,18377046.5
4727385614.16667,3933743623.33333,5055906349.5,5170162554.5,4809570237.66667
205977126.333333,221680858.333333,192928858.333333,229625210.833333,164214932.666667
263781735.333333,247729108.5,315327273.0,314535245.333333,243089589.166667
10552529.2,8736606.66666667,11465123.6,12617134.3333333,10298929.8333333
