Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,CHDI00465983,CHDI00390576,TMP195,TMP269,LMK235
,,,,,,,,,,,,,,,,,,,,,,,,,,,
34146623.5,36365977.3333333,33617827.0,37171255.3333333,36365977.3333333,18874971.5,33617827.0,16104802.8333333,37171255.3333333,15517776.5,33617827.0,34146623.5,36365977.3333333,34146623.5,34146623.5,36365977.3333333,34146623.5,16104802.8333333,34146623.5,28180680.2,34146623.5,15517776.5,15517776.5,18874971.5,15517776.5,36365977.3333333,18874971.5,36365977.3333333
6887952.0,2769679.0,58080548.0,8069411.0,2769679.0,,58080548.0,6667806.66666667,,7766082.2,58080548.0,6887952.0,,6887952.0,6887952.0,,6887952.0,6667806.66666667,6887952.0,,6887952.0,7766082.2,7766082.2,,7766082.2,2769679.0,,
,9197689.0,2317150.5,,,,2317150.5,,,1582478.0,,,,1716501.0,,9197689.0,1716501.0,,,,,,,0.0,1582478.0,,,
10742481.3333333,8906802.75,6887965.5,13425447.0,8906802.75,7867405.75,6887965.5,9995438.66666667,13425447.0,7051711.16666667,6887965.5,10742481.3333333,8906802.75,10742481.3333333,10742481.3333333,8906802.75,10742481.3333333,9995438.66666667,10742481.3333333,9466519.4,10742481.3333333,7051711.16666667,7051711.16666667,7867405.75,7051711.16666667,8906802.75,7867405.75,8906802.75
427049668.5,428566237.5,365752344.5,507105124.5,428566237.5,397046670.0,365752344.5,383132436.5,507105124.5,347070800.0,365752344.5,427049668.5,428566237.5,427049668.5,427049668.5,428566237.5,427049668.5,383132436.5,427049668.5,351743014.833333,427049668.5,347070800.0,347070800.0,397046670.0,347070800.0,428566237.5,397046670.0,428566237.5
18976838.5,18372977.3333333,19612037.6666667,23459980.0,18372977.3333333,20273705.1666667,19612037.6666667,18808087.6666667,23459980.0,12574548.1666667,19612037.6666667,18976838.5,18372977.3333333,18976838.5,18976838.5,18372977.3333333,18976838.5,18808087.6666667,18976838.5,15419373.8,18976838.5,12574548.1666667,12574548.1666667,20273705.1666667,12574548.1666667,18372977.3333333,20273705.1666667,18372977.3333333
,5824751.0,,,,7740102.5,,6703529.5,0.0,6164723.0,,,,,3724554.0,5824751.0,,,3724554.0,0.0,3724554.0,6164723.0,6164723.0,7740102.5,,5824751.0,,
,,0.0,0.0,,0.0,,,0.0,5834726.0,,,0.0,,,0.0,,,0.0,,0.0,,5834726.0,0.0,5834726.0,0.0,,0.0
27251139.5,17910153.5,26812220.8333333,23876223.8333333,17910153.5,29229327.5,26812220.8333333,16672591.6666667,23876223.8333333,15487413.8333333,26812220.8333333,27251139.5,17910153.5,27251139.5,27251139.5,17910153.5,27251139.5,16672591.6666667,27251139.5,27080532.6,27251139.5,15487413.8333333,15487413.8333333,29229327.5,15487413.8333333,17910153.5,29229327.5,17910153.5
17290315.0,19174667.3333333,,,19174667.3333333,28730187.0,,24099291.2,27308268.3333333,21893325.5,0.0,17290315.0,19174667.3333333,,,19174667.3333333,,24099291.2,17290315.0,,17290315.0,21893325.5,21893325.5,28730187.0,21893325.5,19174667.3333333,,19174667.3333333
